date,BTC/USD,ETH/USD,XRP/USD,BNB/USD,SOL/USD,DOGE/USD,TRX/USD,ADA/USD,XLM/USD,WBTC/USD,SUI/USD,HBAR/USD,LINK/USD,BCH/USD,WBETH/USD,UNI/USD,AVAX/USD,SHIB/USD,TON/USD,LTC/USD,DOT/USD,PEPE/USD,AAVE/USD,ONDO/USD,TAO/USD,WLD/USD,APT/USD,NEAR/USD,ARB/USD,ICP/USD,ETC/USD,FIL/USD,TRUMP/USD,OP/USD,ALGO/USD,POL/USD,BONK/USD,ENA/USD,ENS/USD,VET/USD,SEI/USD,RENDER/USD,FET/USD,ATOM/USD,VIRTUAL/USD,SKY/USD,BNSOL/USD,RAY/USD,TIA/USD,JTO/USD,JUP/USD,QNT/USD,FORM/USD,INJ/USD,STX/USD,1000CHEEMS/USD,1000CHEEMS/USD_volume,AAVE/USD_volume,ADA/USD_volume,APT/USD_volume,ARB/USD_volume,ASTER/USD,ASTER/USD_volume,AVAX/USD_volume,AVNT/USD,AVNT/USD_volume,BIO/USD,BIO/USD_volume,BMT/USD,BMT/USD_volume,BNB/USD_volume,BONK/USD_volume,BTC/USD_volume,CAKE/USD,CAKE/USD_volume,CFX/USD,CFX/USD_volume,CRV/USD,CRV/USD_volume,DOGE/USD_volume,DOT/USD_volume,EDEN/USD,EDEN/USD_volume,EIGEN/USD,EIGEN/USD_volume,ENA/USD_volume,ETH/USD_volume,FET/USD_volume,FIL/USD_volume,FLOKI/USD,FLOKI/USD_volume,FORM/USD_volume,HBAR/USD_volume,HEMI/USD,HEMI/USD_volume,ICP/USD_volume,LINEA/USD,LINEA/USD_volume,LINK/USD_volume,LISTA/USD,LISTA/USD_volume,LTC/USD_volume,MIRA/USD,MIRA/USD_volume,NEAR/USD_volume,ONDO/USD_volume,OPEN/USD,OPEN/USD_volume,PAXG/USD,PAXG/USD_volume,PENDLE/USD,PENDLE/USD_volume,PENGU/USD,PENGU/USD_volume,PEPE/USD_volume,PLUME/USD,PLUME/USD_volume,POL/USD_volume,PUMP/USD,PUMP/USD_volume,S/USD,S/USD_volume,SEI/USD_volume,SHIB/USD_volume,SOL/USD_volume,SOMI/USD,SOMI/USD_volume,STO/USD,STO/USD_volume,SUI/USD_volume,TAO/USD_volume,TON/USD_volume,TRUMP/USD_volume,TRX/USD_volume,TUT/USD,TUT/USD_volume,UNI/USD_volume,VIRTUAL/USD_volume,WIF/USD,WIF/USD_volume,WLD/USD_volume,WLFI/USD,WLFI/USD_volume,XLM/USD_volume,XPL/USD,XPL/USD_volume,XRP/USD_volume,ZEC/USD,ZEC/USD_volume,ZEN/USD,ZEN/USD_volume
2025-10-26,114559.4,4158.46,2.6461,1138.19,200.03,0.2058,0.3003,0.6812,0.3304,114543.32,2.6761,0.1799,18.55,559.4,4486.91,6.665,20.82,0.0,2.228,100.02,3.195,0.0,240.76,0.7667,404.6,0.949,3.588,2.369,0.3347,3.293,16.64,1.653,6.273,0.4647,0.1907,0.2021,0.0,0.5096,16.38,0.0179,0.2071,2.577,0.2792,3.254,1.5107,0.0592,215.9,1.894,1.071,1.152,0.4353,84.06,0.7956,9.02,0.4691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27,114107.65,4120.15,2.634,1138.88,198.7,0.2004,0.2983,0.667,0.3228,114119.05,2.6107,0.1848,18.22,555.6,4446.9,6.514,20.33,0.0,2.235,99.39,3.139,0.0,235.17,0.7461,415.2,0.904,3.46,2.332,0.3305,3.174,16.52,1.64,7.137,0.4518,0.1857,0.1995,0.0,0.5013,15.94,0.0173,0.2007,2.497,0.2641,3.178,1.4321,0.0591,214.5,1.837,1.036,1.096,0.4446,81.35,0.6834,8.62,0.4581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-28,112898.45,3979.2,2.6034,1103.45,194.15,0.1936,0.2954,0.6459,0.3184,112915.49,2.5055,0.1945,17.83,557.6,4301.24,6.339,19.47,0.0,2.243,96.65,3.051,0.0,228.36,0.7291,432.3,0.87,3.358,2.234,0.3149,3.076,15.9,1.558,7.175,0.4355,0.1844,0.1947,0.0,0.4606,15.48,0.0168,0.1954,2.425,0.2574,3.098,1.4969,0.0583,209.8,1.804,1.008,1.057,0.4304,80.7,0.6672,8.38,0.4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29,110021.29,3902.99,2.5502,1107.7,193.88,0.1924,0.2961,0.6401,0.3158,110055.95,2.5119,0.2011,18.13,555.6,4215.1,6.295,19.66,0.0,2.213,98.53,3.079,0.0,227.63,0.7287,441.0,0.86,3.405,2.276,0.3176,3.062,15.97,1.584,8.263,0.4404,0.1838,0.1954,0.0,0.4431,15.53,0.0168,0.1989,2.391,0.262,3.095,1.5158,0.0587,209.4,1.801,1.01,1.061,0.4173,81.2,0.6174,8.5,0.4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,108322.88,3805.09,2.4393,1079.05,184.69,0.1827,0.2925,0.6016,0.2984,108336.47,2.2907,0.1966,16.8,541.2,4110.6,5.846,18.11,0.0,2.155,93.39,2.871,0.0,215.14,0.6888,414.5,0.798,3.206,2.1,0.2902,2.892,15.42,1.463,7.527,0.4003,0.1741,0.1848,0.0,0.3941,14.54,0.0156,0.1846,2.232,0.2404,2.951,1.2552,0.0575,199.4,1.643,0.912,0.925,0.4001,78.61,0.5407,7.65,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,109608.01,3847.99,2.5097,1088.9,187.21,0.1864,0.2962,0.6091,0.305,109584.83,2.3636,0.201,17.24,535.1,4160.16,5.744,18.19,0.0,2.284,95.38,2.882,0.0,228.45,0.6873,481.0,0.799,3.259,2.099,0.2953,2.942,15.86,1.515,8.011,0.3991,0.1774,0.1843,0.0,0.3918,14.75,0.0156,0.1908,2.229,0.2364,2.962,1.3596,0.056,202.2,1.633,0.9,0.901,0.4061,79.94,0.5193,7.59,0.4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-01,110098.1,3873.77,2.5053,1094.53,186.35,0.1874,0.2975,0.6128,0.3051,110061.1,2.3795,0.1964,17.14,554.0,4187.62,5.863,18.73,0.0,2.308,101.38,2.971,0.0,222.96,0.703,497.2,0.872,3.332,2.174,0.3069,3.442,16.34,1.672,7.752,0.417,0.1793,0.1929,0.0,0.3876,15.16,0.0163,0.1948,2.332,0.2591,3.03,1.8336,0.056,201.4,1.676,0.971,0.942,0.4108,80.05,0.5403,7.95,0.4242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-02,110540.68,3906.58,2.5267,1083.25,187.71,0.1864,0.2981,0.6106,0.3047,110509.15,2.354,0.1945,17.58,536.9,4227.16,5.859,18.8,0.0,2.31,99.42,2.985,0.0,231.37,0.6978,488.7,0.842,3.375,2.19,0.3075,4.282,16.37,1.666,7.55,0.4203,0.1783,0.1927,0.0,0.3745,15.21,0.0163,0.1945,2.292,0.2462,3.054,1.673,0.0559,202.8,1.658,0.964,0.961,0.4055,79.88,0.5257,7.83,0.4252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03,106583.04,3603.83,2.3096,993.54,166.06,0.1674,0.2813,0.5528,0.2782,106562.1,2.0698,0.1753,15.25,505.9,3894.37,5.198,16.65,0.0,2.017,87.43,2.585,0.0,199.65,0.615,466.6,0.727,2.779,1.912,0.2612,3.934,15.01,1.443,7.278,0.3527,0.1602,0.1686,0.0,0.3331,13.45,0.0146,0.1656,2.001,0.2091,2.506,1.4608,0.0539,179.4,1.416,0.809,0.816,0.3622,73.96,0.4378,6.74,0.3716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04,101497.22,3287.05,2.2053,936.77,155.03,0.1622,0.2855,0.5208,0.2695,101442.7,1.9754,0.1686,14.68,480.0,3551.8,5.073,15.98,0.0,1.902,85.21,2.508,0.0,188.1,0.5933,401.3,0.703,2.561,1.831,0.2548,5.19,14.27,1.367,6.957,0.3454,0.154,0.1623,0.0,0.3184,12.52,0.014,0.1582,1.862,0.2116,2.507,1.3611,0.053,167.4,1.33,0.783,0.764,0.3432,72.73,0.4304,6.48,0.3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05,103885.16,3424.29,2.3432,959.33,162.37,0.1672,0.2889,0.5453,0.2802,103807.79,2.0322,0.1752,15.09,489.1,3703.44,5.346,16.61,0.0,1.958,89.39,2.672,0.0,202.02,0.6165,384.0,0.738,2.681,1.951,0.2698,5.961,14.63,1.397,8.082,0.3728,0.1617,0.1688,0.0,0.332,12.96,0.0151,0.1655,2.025,0.2239,2.667,1.3851,0.0517,175.2,1.382,0.82,0.793,0.353,86.11,0.4946,6.58,0.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-06,101346.04,3315.14,2.213,950.4,155.28,0.1616,0.2839,0.5318,0.2697,101289.94,1.9677,0.1632,14.74,472.9,3582.46,5.255,16.13,0.0,1.958,87.0,2.669,0.0,197.28,0.5954,392.2,0.705,2.744,2.097,0.2647,6.714,14.56,1.893,7.605,0.3648,0.1573,0.1638,0.0,0.3096,12.59,0.0147,0.1608,1.944,0.2317,2.648,1.1929,0.05,167.8,1.29,0.807,0.746,0.3397,81.5,0.4288,6.32,0.3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07,103339.08,3436.05,2.3154,991.15,161.79,0.1788,0.2923,0.5763,0.2916,103161.7,2.1449,0.1771,15.79,512.3,3713.76,5.875,17.74,0.0,2.091,101.87,3.254,0.0,208.1,0.6672,399.3,0.835,3.165,2.768,0.2996,8.225,17.91,3.392,7.736,0.4235,0.181,0.1813,0.0,0.3339,14.17,0.0169,0.1805,2.44,0.3657,3.051,1.5049,0.0553,174.9,1.432,1.06,0.825,0.3556,87.77,0.465,7.68,0.4113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-08,102312.94,3401.51,2.2863,991.03,158.02,0.1761,0.2916,0.5688,0.2833,102171.88,2.1224,0.1757,15.51,495.8,3677.75,6.011,17.5,0.0,2.094,106.95,3.252,0.0,202.79,0.6601,367.7,0.817,3.083,2.937,0.2981,8.96,16.38,2.958,7.5,0.4232,0.1778,0.1792,0.0,0.3206,13.76,0.0173,0.1807,2.32,0.3408,2.953,1.3754,0.0514,171.0,1.41,1.041,0.804,0.3488,84.48,0.4304,7.44,0.4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10,106504.01,3609.01,2.4857,1005.88,167.25,0.18137,0.2939,0.5895,0.2994,,2.1745,0.18715,16.38,,,6.731,17.99,1.002e-05,2.12,107.26,3.258,6.13e-06,220.03,0.6947,397.6,0.832,3.233,2.97,0.3006,7.123,,2.626,8.142,,,0.1812,1.325e-05,0.3453,,,0.1831,,0.3441,,1.5395,,,,,,,,0.484,,,0.001248,769094.897014,41953824.22427,56290363.51513,17250213.60124,18914470.99964,1.136,192379047.21239,45211991.8418,0.5475,7100474.14465,0.0819,4466750.93049,0.0366,1158220.8294,295890291.48347,14466289.57121455,2293283886.879615,2.553,16070571.76288,0.0994,5359723.0973,0.4909,12724387.70635,176818233.35437,36551843.64101,0.1235,8628696.01558,0.854,20173725.80693,59459689.48817,1960080441.467029,61929706.746,153322066.7223,6.399e-05,8949482.54823452,16653175.4238,37314854.18165,0.036,9628351.78975,201232899.73922,0.01308,12706522.94131,51430228.209,0.2688,932194.08099,187934450.15089,0.2179,4284515.26001,165626310.13,7568054.57799,0.2897,1960426.59819,4073.66,21913679.546976,2.867,4702893.1558,0.015815,32177247.305239,46897546.63301383,0.05234,2847295.55688,7970249.35621,0.004417,62203360.694823,0.1528,20519617.4374,22242857.31165,11796484.30854835,607346803.75336,0.3965,3792972.96992,0.1676,619879.80811,87818753.04201,61216737.51873,10992610.24859,84221133.108089,73198897.8592,0.01944,2678919.24341,67807459.62244,78494455.15841,0.487,14200148.23375,29094507.8334,0.1561,106522666.78972,18044242.3189,0.3232,113129343.68994,309885728.6394,675.3,666969306.57011,15.011,92287629.29944
